# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  24672: yukarı     (99.9%)
  24800: yukarı     (99.9%)
  24928: yukarı     (99.9%)
  25056: yukarı     (99.9%)
  25184: yukarı     (99.7%)
  25312: yukarı     (99.7%)
  25440: yukarı     (99.7%)
  25568: yukarı     (99.7%)
  25696: yukarı     (99.7%)
  25824: yukarı     (99.7%)
  25952: yukarı     (99.7%)
  26080: yukarı     (99.7%)
  26208: yukarı     (99.7%)
  26336: yukarı     (99.7%)
  26464: yukarı     (99.7%)
  26592: yukarı     (99.7%)
  26720: yukarı     (99.2%)
  26848: yukarı     (99.2%)
  26976: yukarı     (99.2%)
  27104: yukarı     (99.2%)
  27232: yukarı     (99.9%)
  27360: yukarı     (99.9%)
  27488: yukarı     (99.9%)
  27616: yukarı     (99.9%)
  27744: yukarı     (99.4%)
  27872: yukarı     (99.4%)
  28000: yukarı     (99.4%)
  28128: yukarı     (99.4%)
  28256: yukarı     (100.0%)
  28384: yukarı     (100.0%)
  28512: yukarı     (100.0%)
  28640: yukarı     (100.0%)
  28768: yukarı     (100.0%)
  28896: yukarı     (100.0%)
  29024: yukarı     (100.0%)
  29152: yukarı     (100.0%)
  29280: yukarı     (100.0%)
  29408: yukarı     (100.0%)
  29536: yukarı     (100.0%)
  29664: yukarı     (100.0%)
  29792: yukarı     (99.8%)
  29920: yukarı     (99.8%)
  30048: yukarı     (99.8%)
  30176: yukarı     (99.8%)
  30304: yukarı     (99.6%)
  30432: yukarı     (99.6%)
  30560: yukarı     (99.6%)
  30688: yukarı     (99.6%)
  30816: yukarı     (100.0%)
  30944: yukarı     (100.0%)
  31072: yukarı     (100.0%)
  31200: yukarı     (100.0%)
  31328: yukarı     (100.0%)
  31456: yukarı     (100.0%)
  31584: yukarı     (100.0%)
  31712: yukarı     (100.0%)
  31840: yukarı     (98.7%)
  31968: yukarı     (98.7%)
  32096: yukarı     (98.7%)
  32224: yukarı     (98.7%)
  32352: yukarı     (99.9%)
  32480: yukarı     (99.9%)
  32608: yukarı     (99.9%)
  32736: yukarı     (99.9%)
  32864: yukarı     (99.5%)
  32992: yukarı     (99.5%)
  33120: yukarı     (99.5%)
  33248: yukarı     (99.5%)
  33376: yukarı     (98.6%)
  33504: yukarı     (98.6%)
  33632: yukarı     (98.6%)
  33760: yukarı     (98.6%)
  33888: yukarı     (100.0%)
  34016: yukarı     (100.0%)
  34144: yukarı     (100.0%)
  34272: yukarı     (100.0%)
  34400: yukarı     (99.7%)
  34528: yukarı     (99.7%)
